date,merged file,link_link,called (NaN: not available; 1=yes; 0=not interested;),irrelevant,Erlaubnis nochmal anrufen,hilfsbereit/gesprächig,website,Nummer,job,Notizen
,,https://www.google.com/maps/place/Marion+Oberleiter+Heilpraktikerin/data=!4m7!3m6!1s0x47a2c2272ed3dbf3:0xd8e8cd71711216a5!8m2!3d50.02064!4d9.77995!16s%2Fg%2F1hc17d_pf!19sChIJ89vTLifCokcRpRYScXHN6Ng?authuser=0&hl=de&rclk=1,,,,,http://www.praxis-oberleiter.de/,,hp,
,,https://www.google.com/maps/place/Siegfried+Waigand/data=!4m7!3m6!1s0x47a2e4b5b728969d:0x4b8c6ddb850e755b!8m2!3d50.1408094!4d10.0694143!16s%2Fg%2F11btmbpdc6!19sChIJnZYot7XkokcRW3UOhdttjEs?authuser=0&hl=de&rclk=1,,,,,0,,,
,,https://www.google.com/maps/place/erLebenskunst+Ramsthal/data=!4m7!3m6!1s0x47a2fb35047dc8d7:0x589de019be1ad4fc!8m2!3d50.140581!4d10.072155!16s%2Fg%2F11gclzg2rj!19sChIJ18h9BDX7okcR_NQavhngnVg?authuser=0&hl=de&rclk=1,,,,,http://www.erlebenskunst-ramsthal.de/kontakt/impressum,,,
,,https://www.google.com/maps/place/Poetischer+Wald-Wanderweg+(Ramsthal)/data=!4m7!3m6!1s0x47a2e4b78878db97:0xe823188beab697f3!8m2!3d50.1414446!4d10.0606441!16s%2Fg%2F11b6mrktw_!19sChIJl9t4iLfkokcR85e26osYI-g?authuser=0&hl=de&rclk=1,,,,,0,,,
,,https://www.google.com/maps/place/Der+bunte+Bauernladen/data=!4m7!3m6!1s0x47a2e55b8b1f2d81:0x1bd2b1ab3a2cf568!8m2!3d50.1397575!4d10.0677442!16s%2Fg%2F11fk149bbs!19sChIJgS0fi1vlokcRaPUsOqux0hs?authuser=0&hl=de&rclk=1,,,,,0,,,
,,https://www.google.com/maps/place/G%C3%A4stezimmer+Fuchs/data=!4m10!3m9!1s0x47a2e4b5ec4f6153:0xb83977fd4a085480!5m2!4m1!1i2!8m2!3d50.1396761!4d10.0680671!16s%2Fg%2F11f15b0785!19sChIJU2FP7LXkokcRgFQISv13Obg?authuser=0&hl=de&rclk=1,,,,,http://www.gaestezimmerfuchs.de/,,,
,,https://www.google.com/maps/place/Riese-Concept+GmbH/data=!4m7!3m6!1s0x47a2e4ca194d7125:0x1b952e4c60992550!8m2!3d50.1378866!4d10.0664834!16s%2Fg%2F11f5bmpzxp!19sChIJJXFNGcrkokcRUCWZYEwulRs?authuser=0&hl=de&rclk=1,,,,,https://riese-concept.com/,,,
,,https://www.google.com/maps/place/Gasthof+%26+Metzgerei+Wahler/data=!4m10!3m9!1s0x4173124ea8da41ff:0xd3908f5a620e0d4a!5m2!4m1!1i2!8m2!3d50.1395953!4d10.0695394!16s%2Fg%2F1tfl8ns2!19sChIJ_0HaqE4Sc0ERSg0OYlqPkNM?authuser=0&hl=de&rclk=1,,,,,http://www.gasthof-wahler.de/,,,
,,https://www.google.com/maps/place/Gabriele+Schwope-Holz/data=!4m7!3m6!1s0x479f55bd87e03c5d:0x83393bbd6f873e93!8m2!3d49.4759228!4d10.9817803!16s%2Fg%2F11dxd85xfy!19sChIJXTzgh71Vn0cRkz6Hb707OYM?authuser=0&hl=de&rclk=1,,,,,http://gabrieleholz.de/,,hp,
,97737_heilpraktiker.html,97737_heilpraktiker.html,,,,,,,,
